
      A very enjoyable biography of a little-known Black poet. Lovely photos. Would have liked it better if more of his poetry was included. ||||| 3
      Talks about the culture of violence in America and what it means to some people, why they stick with it, and how to undermine it. Focuses mainly on how to give kids, who have been soaking in violence like teabags all their lives in the inner cities, a shot at seeing the world differently. You sho... ||||| 3
      Another timely topic, concussions. Told from two perspectives. Well written. ||||| 3
      <br />This biography of the "sexologists" Masters and Johnson that lead to the hit tv series of the same name. It was interesting to learn more about their groundbreaking research and life in St. Louis. Equally interesting is their personal lives...before they became "Masters and Johnson" and eventuall... ||||| 3
      I had very high expectations simply because the previous novel was so good. However, if you read Me Before You then you know, as I do now, it really was a stand alone story. There need not have been a follow up. This book feels like what we'd get if we got to see "happily ever after". It's not so... ||||| 3
      STARS OVER SUNSET BOULEVARD<br /><br />Susan Meissner<br /><br /> ||||| 3
      Pretty good in some parts some of it gets verrry boring like the pearl ||||| 3
      I liked this book, but I wanted to see the shooter's perspective. Heather's part was not worth reading, and same with Jason's. ||||| 3
      a little too convenient for scarpetta. Cornwall spends a lot of time with descriptions that don't move the plot forward. everything too easy for scarpetta ||||| 3
      Only read the first story didn't old much interest. I thought the book was a full novel with a bonus book at the end. I was disappointed to find that was not the case. I thought the story was too rushed might have been better it the story had been longer. I enjoy reads were I feel like I can amer... ||||| 3
      This was a fun science fiction novel. Think Jack London meets MacGyver set in space. The narrator Mark Watney is left for dead on Mars, and he has to figure out how to survive on the unforgiving planet until he's rescued. Most of the plot is driven by engineering challenges Mark faces. He also ne... ||||| 3
      Not thrilled with the amount of profanity and what I feel was prurient sex. It's an interesting idea and I wouldn't NOT recommend it. Just give some caveats. ||||| 3
      This is a bit of a contrived story and I thought a bit silly, however, it was a good way to spend an evening sick in bed. Didn't take too much concentration. If you are a Jane Austen fan you might enjoy.<br /> ||||| 3
      There is a ghost but that's just peripheral. The real heat is between Jade and Kane. ||||| 3
      The story seemed rather episodic, with some kind of "big bad" plot hinted at in the background. Even though the main character struggled with a serious health problem, the resolution wasn't very interesting. The ending, when the "big bad" finally interacted with the rest of the characters, made u... ||||| 3
